procedure id,#instructions,#samples,inYara?,4abb20f92c04e1118e356936f36359620e998de7,60a5b825c197a8788b8934c31e7453bd9a87e452,8a189f0c6a69efeaed1916860a0ff74e424563f6
f151ad4b74e2f3c1bfd50634aa8f7f8c,23,2,True,-,0xf20,0xef0
f1766cb53c2ee4281faaff4c70114659,207,2,True,-,0x16e0,0x16c0
f1a83bf82f09ce70de14e553217e848d,10,3,False,0xae80,0xa310,0xa0e0
f236ab44da69494654de0ad7b27433b1,31,3,False,0x3be58,0x3aa7c,0x3a7d4
f270f381455b567c0a5f044a05b6a7c8,9,3,False,0x3ec50,0x3dba8,0x3d900
f27cce2995962a34cba694aa870b6c44,570,3,True,0x13250,0x126e0,0x124b0
f28dd8858832a378106be68a0bfe8d09,34,1,False,0x5dc0,-,-
f3912298495d4b6a4b122d0ac8c0f143,41,1,False,-,-,0x4850
f3d48df0516a11979b2af38216637a4f,11,3,False,0xa2a0,0x97a0,0x9570
f43db02380c4c4ad00cf05bba515e75b,40,3,False,0x21b00,0x20e20,0x20bf0
f442ca910436e12241cbdb784fbf06b1,111,3,True,0x34350,0x33670,0x33440
f4710908a964755251c3aab2f837150c,12,3,False,0x33c00,0x33640,0x33410
f4874873cba56e68a96e9d39838a13c7,70,3,False,0x36c24,0x35e94,0x35bcc
f57d2ac9528319d29039ed7bdb84d229,15,3,False,0x5c20,0x4cc0,0x4a90
f57e9af471e4d0da9ed2f4107424de63,131,3,True,0x207a0,0x1fac0,0x1f890
f67c421cc18b854edfe630837d6f3053,28,3,False,0x35cb8,0x34fbc,0x34d6c
f69d8a2dc93ac9991bea37b9b1166995,120,2,True,-,0x44d0,0x42a0
f6dee1139c1277adaced85bfb6ccbd52,32,3,True,0x3bb84,0x3a7a8,0x3a500
f6f95eb5ba6fd41b08e1251262a706e1,384,3,True,0x72e0,0x7ce0,0x7ab0
f708c13479ae9b753d2e4132b727bc20,262,1,False,0x4580,-,-
f747680c148216b46dca11b74f573ac2,154,3,True,0x3cda4,0x3b9c8,0x3b720
f7492c54577af1f97846e997dbcfe747,32,3,False,0x214d0,0x207f0,0x205c0
f749f6359b9bcd509431af71b54bfb37,18,3,False,0x37144,0x362f8,0x36030
f7634d692d24a1054df6dd14d5d3ab28,51,3,True,0x298e0,0x28c00,0x289d0
f80fa0cb4e2c77470a558275c3f162dc,92,3,True,0x32d90,0x320b0,0x31e80
f82c8859d22a942c6fe843f49b3e1a17,56,3,True,0xb520,0xa9b0,0xa780
f8748b31214ffbe16299ebd0d8a57660,613,3,True,0x236e0,0x22a00,0x227d0
f895c67ddfc8c009923448356e7a1edb,66,1,False,-,0xd40,-
f89bcdbd8784a3c6f99f024923556945,26,3,False,0x27a70,0x26d90,0x26b60
f8a43a78a6051e1b0713c401ce34bf8c,19,3,False,0x32be0,0x31f00,0x31cd0
f8db1e18b45f6bcfdd9ea5bd1b078fe0,9,3,False,0x27d40,0x27060,0x26e30
f90a25107a86a62a8a04f149aa43e7b8,9,3,False,0x94,0x94,0x94
f91ca16e6fb8a475215abaf34fc63b62,777,3,True,0x3763b,0x367ef,0x36527
f9e19c3fb254864adc95b582271bdaa2,251,3,True,0x1e6f0,0x1da10,0x1d7e0
fa01e42379c2dda73a4e85ed7c8ea708,113,2,True,-,0x6e90,0x6c60
fa3203154c7ee55fe91d84637226f4de,40,3,True,0xb380,0xa810,0xa5e0
fac3d6056f19e26f242de7827514a09e,16,3,False,0xb2e0,0xa770,0xa540
fae6378fd939934b45d289ba39e690d9,70,1,False,0xd20,-,-
faff2e590915edc532cd2ddbc2c17ac5,24,1,False,0x6660,-,-
fbbf592ad578fe43ead3c3f42002a3ab,14,3,False,0x395e8,0x38438,0x38170
fc20a010079e1a6516c4baa0efcf4747,365,3,True,0x33c70,0x32e10,0x32be0
fc5846a7dc6fb82a73b336a8c6a09f28,206,3,False,0x25450,0x24770,0x24540
fda0715030925da7d89fd7ff8794a443,70,3,True,0x37438,0x365ec,0x36324
fdadaf95643b06f2f9768ea106c64df9,27,3,True,0x127e0,0x11c70,0x11a40
fea5bebc48b13483f986708d2318a99a,54,3,False,0x27550,0x26870,0x26640
feec3d3edb21702c30c0ff01598126ad,70,3,True,0x24870,0x23b90,0x23960
ff5e8cdd10cc63a0e43f5d87d8a5d698,45,3,True,0x372e8,0x3649c,0x361d4
ffa22a266ad0dbd70eb25d2d2b84056c,529,3,False,0x229e0,0x21d00,0x21ad0
ffe75e8a09827ea4cd8b98a6faad8323,46,3,False,0x230c0,0x223e0,0x221b0
