procedure id,#samples,#instructions,4ac8d962c6072b77f157c5d6459b887a658d66d5,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,001a0ae15f5227964bbc283c40d3075c914dabeb,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,68849b50a02621cafdf2180e6a2878cb09040d91,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,dc8cec562f9069e8400b069434c6eee244035c2f,5efb19bb3b5c2f85368f98099cce0f3243d3361a,597978903502626c13cfbae8b3d6fbb1eae40edb,6615478457530763b56aa69ce160ecf20a9daa9f,341d6fe50ae334f14ff5dc687495cb668d00b127,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,90a46fb2014fa0788be45a89f77f831ce426b037,4340065699141a144bfa28ba1a8dda24f7794fa7,cfed394dcfa28602e9da764253109a93e9fac06b,4ac8d962c6072b77f157c5d6459b887a658d66d5,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,001a0ae15f5227964bbc283c40d3075c914dabeb,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,68849b50a02621cafdf2180e6a2878cb09040d91,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,dc8cec562f9069e8400b069434c6eee244035c2f,5efb19bb3b5c2f85368f98099cce0f3243d3361a,597978903502626c13cfbae8b3d6fbb1eae40edb,6615478457530763b56aa69ce160ecf20a9daa9f,341d6fe50ae334f14ff5dc687495cb668d00b127,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,90a46fb2014fa0788be45a89f77f831ce426b037,4340065699141a144bfa28ba1a8dda24f7794fa7,cfed394dcfa28602e9da764253109a93e9fac06b
c6023fe84b4302cf494a60cfeb533d2b,20,10,0x30a68,0x5f28,0x5f28,0xcabc,0xb07c,0xa758,0x10c08,0x11004,0xb880,0x1294c,0x11a1c,0x10c08,0x86d0,0xbe78,0x10304,0x10dbc,0x11a1c,0x120bc,0x120e0,0x10304,-,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf,printf
39c84a85194e73260eb182153a58bc42,20,53,0x34740,0xe02c,0xe02c,0xec70,0xc728,0xc0dc,0xbd48,0xc144,0xd2dc,0x122e8,0x113b8,0xbd48,0xa6fc,0xd88c,0x10018,0x12ccc,0x113b8,0xcc58,0xc764,0x10018,-,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal,signal
8b880a74f2d5c8a261f4a364fa428a34,20,31,0x36908,0x9c6c,0x9c6c,0x10ef8,0xe608,0xdfbc,0xdc28,0xe024,0xf1bc,0xe9b8,0xda88,0xdc28,0xc7b4,0xf76c,0xc71c,0x14bac,0xda88,0xeb78,0xe644,0xc71c,-,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk,sbrk
5c4b2a149baaab78569fb84ab9e728c4,20,53,0x31194,0x6688,0x6688,0xcf64,0xb1cc,0xab60,0x10de8,0x111e4,0xbaa0,0x12c14,0x11ce4,0x10de8,0x8b78,0xbfe8,0x105cc,0x11170,0x11ce4,0x12320,0xae94,0x105cc,-,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf,vfprintf
c3506cf315ccdb84476056ee9e178b9d,20,22,0x318e4,0x6dc8,0x6dc8,0xd6b4,0xb91c,0xb2b0,0x11538,0x11934,0xc1f0,0xb5d4,0xa6a4,0x11538,0x92c8,0xc738,0x8fc8,0x118c0,0xa6a4,0x12a70,0xb5e4,0x8fc8,-,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs,_ppfs_prepargs
92173d4b2cd54a60de7611e011b1ca63,20,14,0x32568,0x7aec,0x7aec,0xe0e8,0xc034,0xb9e8,0xb770,0xbb6c,0xc86c,0xc0b8,0xb188,0xb770,0x9cfc,0xcdb4,0x99dc,0x121d0,0xb188,0xc2c8,0xc07c,0x99dc,-,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy,strcpy
34669dd9ce4de46c35084a4a052ad084,20,28,0x3a800,0x11204,0x11204,0x16828,0x14d28,0x14710,0x15124,0x15520,0x154d8,0x1485c,0x1392c,0x15124,0xf0a0,0x15b04,0x121b4,0x1a944,0x1392c,0x15bfc,0x14b6c,0x121b4,-,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted,__length_dotted
6b7274259068da5b752003315a32ce58,20,33,0x35e44,0x91ac,0x91ac,0x1048c,0xdc0c,0xd5c0,0xd22c,0xd628,0xe7c0,0xdf60,0xd030,0xd22c,0xbe24,0xed70,0xbcb8,0x141b0,0xd030,0xe13c,0xdc48,0xbcb8,-,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit,exit
c5c284fd3bcb4908fb18b43e3694ce39,20,55,0x36c18,0x9f34,0x9f34,0x11040,0xe748,0xe240,0xdc78,0xe074,0xf304,0xeb34,0xdc04,0xdc78,0xc938,0xf8b4,0xc864,0x14cf4,0xdc04,0xebd0,0xe8c8,0xc864,-,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE,__stdio_WRITE
e900685f2f6634a25ce378b442d7d323,20,49,0x32290,0x7780,0x7780,0xdf50,0x13a98,0x13480,0x13e94,0x14290,0x137b4,0xbea4,0xaf74,0x13e94,0x9b64,0x13d64,0x9864,0x18ba4,0xaf74,0x132b8,0x138dc,0x9864,-,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked,fgets_unlocked
