procedure id,#samples,#instructions,4fcb3f9cdf5a6150cc111ac8f6ae0b273c0f740e,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,4340065699141a144bfa28ba1a8dda24f7794fa7,bb60f647ee1260425a2b1330cd8d781ca95039c8,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,a4694b898f50ada5c33b4493d748121e1ce4ceff,001a0ae15f5227964bbc283c40d3075c914dabeb,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,dc8cec562f9069e8400b069434c6eee244035c2f,6615478457530763b56aa69ce160ecf20a9daa9f,cfed394dcfa28602e9da764253109a93e9fac06b,58780dedae65b58f1ef582a3daf917806f241f30,344b9be95618284af9d309871bf02287f35105ad,fed4ab8b8ec146d7dc661cd648237d1ae638934b,4fcb3f9cdf5a6150cc111ac8f6ae0b273c0f740e,ce5225255035ffdb723e197be715d652ae6ffd2c,cc946b2c2e5cb0b28873c9f7ff4d17ee593fc3c2,4340065699141a144bfa28ba1a8dda24f7794fa7,bb60f647ee1260425a2b1330cd8d781ca95039c8,2d000cf948f0565fb04c2edcc9bf3ba7ddee4c1c,379032547143823e9578dadad0e8a1aa49369a54,d39411845836b0c2821f088807850d49ea495135,ec960d1edcfb04e2bcdb935fa5ea8858621ea24a,788cc1ef63e2b6c83760750cc9fe499ab9929e9d,a4694b898f50ada5c33b4493d748121e1ce4ceff,001a0ae15f5227964bbc283c40d3075c914dabeb,38a191ddb7a351b55e232ddd40d1155fcb319785,6a666edd59469b3ffd1be7eccb67204fc442143d,dc8cec562f9069e8400b069434c6eee244035c2f,6615478457530763b56aa69ce160ecf20a9daa9f,cfed394dcfa28602e9da764253109a93e9fac06b,58780dedae65b58f1ef582a3daf917806f241f30,344b9be95618284af9d309871bf02287f35105ad,fed4ab8b8ec146d7dc661cd648237d1ae638934b
6b56f87962471931d83c7d32403edd0e,20,3,0x314d0,0x4130,0x4130,0x7bb8,0x4f90,0x7a4c,0x7b44,0x6c14,0x6c14,0x9c18,0x8d80,0x8370,0x876c,0x8ba8,0x876c,0x5738,0x5738,0x4400,0xc67c,0x4400,-,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self,pthread_self
3ea0cf15dd3d2d460e7a39a734564a6d,20,20,0x2c7ff4,0x5c14,0x5c14,0xa6fc,0x7ad8,0xa5d0,0xa5d4,0x96a4,0x96a4,0xc854,0xb8c4,0xaef4,0xb2f0,0xb6ec,0xb2f0,0x8280,0x8280,0x6f48,0xf200,0x6f48,-,uname,uname,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time,time
b5ab3c95db993e76d8c8e3878107c063,20,10,0x2c5d5f,0x4043,0x4043,0x7acb,0x4ea3,0x795f,0x7a57,0x6b27,0x6b27,0x9b2b,0x8c93,0x8283,0x867f,0x8abb,0x867f,0x564b,0x564b,0x4313,0xc58f,0x4313,-,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self,__pthread_find_self
2ad52ec9162a57c428c8a95a810c194d,20,62,0x2c341e,0x240a,0x240a,0x59d6,0x2dae,0x586a,0x5962,0x4a32,0x4a32,0x7a36,0x6b9e,0x618e,0x658a,0x69c6,0x658a,0x3556,0x3556,0x221e,0xa49a,0x221e,-,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread,pthread_start_thread
e29d735d24af809237dcff6f275399df,20,21,0x2caa70,0xa25c,0xa25c,0x1228c,0x10144,0x11e18,0x12be0,0x11cb0,0x11cb0,0x14ca4,0x13ca0,0x11ea8,0x10db4,0x111b0,0x10db4,0x10598,0x10598,0xf04c,0x172f0,0xf04c,-,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek,__stdio_seek
d6495092533d86406b1d2ebd9adfe2be,20,38,0x2d4981,0xc975,0xc975,0x104b1,0xdeb9,0x1005d,0x105dd,0xf6ad,0xf6ad,0x12ae9,0x11835,0x100ed,0xefd9,0xf3d5,0xefd9,0xe30d,0xe30d,0xcdc1,0x14ea5,0xcdc1,-,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg,xdr_replymsg
1b7a66b7bc4a22b4d4c0e4cfdd6b3c66,20,10,0x2ca25c,0x9de0,0x9de0,0x120c4,0xfe94,0x11c70,0x12930,0x11a00,0x11a00,0x14a14,0x13ad8,0x11d00,0x10bec,0x10fe8,0x10bec,0x102e8,0x102e8,0xed9c,0x17148,0xed9c,-,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko,fseeko
0d4f5c4758f7c6de3d8d1290fc85d805,20,16,0x2d8594,0x10238,0x10238,0x13a14,0x11910,0x135b8,0x1440c,0x134dc,0x134dc,0x163d8,0x15688,0x13bd0,0x13fcc,0x143c8,0x13fcc,0x11d64,0x11d64,0x10850,0x18cd8,0x10850,-,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf,_buf
11b7e842c0a03ff529e0654a234ccc28,20,91,0x2ca100,0x5cec,0x5cec,0xe784,0x7bd0,0xe0fc,0xa6cc,0x979c,0x979c,0xc960,0xb9d0,0x13440,0x131f8,0x135f4,0x131f8,0x8378,0x8378,0x7040,0xf30c,0x7040,-,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose,fclose
0720824f2d1ccff45a39ddf450e9736b,20,65,0x2d7b8c,0xf490,0xf490,0x12b50,0x10a30,0x126d4,0x1352c,0x125fc,0x125fc,0x15540,0x1460c,0x12764,0x1242c,0x12828,0x1242c,0x10e84,0x10e84,0xf970,0x17c5c,0xf970,-,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set,pmap_set
c2af169e6a0f76f582750489e424d3ea,20,8,0x2c8280,0x11020,0x11020,0xa7e8,0x7bb0,0xa6bc,0xa6ac,0x977c,0x977c,0xc940,0xb9b0,0xafe0,0xb3dc,0xb7d8,0xb3dc,0x8358,0x8358,0x7020,0xf2ec,0x7020,-,tolower,tolower,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper,toupper
caa7d513eaa292698fd8f075ae9340df,20,13,0x2ce990,0x7fe0,0x7fe0,0xc648,0x9f74,0xbfc0,0xca10,0xbae0,0xbae0,0xeb54,0xdcc8,0xc60c,0xbc2c,0xc028,0xbc2c,0xa430,0xa430,0x8ee4,0x189a0,0x8ee4,-,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,socket,bind,socket
f67c421cc18b854edfe630837d6f3053,20,28,0x2cabfc,0x6710,0x6710,0xaf1c,0x8410,0xabe8,0xaf0c,0x9fdc,0x9fdc,0xcfec,0xc27c,0xb254,0x10e70,0x1126c,0x10e70,0x8900,0x8900,0x75c8,0xf920,0x75c8,-,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad,_charpad
